,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
0,1,1,4.1,775,1,19,1092,800.0,1914
1,1,0,4.1,787,1,19,478,800.0,1914
2,1,0,3.8,918,1,15,392,800.0,1914
3,0,0,3.7,88,1,58,1256,300.0,1914
4,0,0,3.8,166,4,19,1109,600.0,1914
5,1,0,3.8,286,4,19,903,600.0,1914
6,1,1,4.6,2556,1,21,1161,600.0,1914
7,1,0,4.0,324,1,12,371,700.0,1914
8,1,0,4.2,504,1,12,393,550.0,1914
9,1,0,4.1,402,1,12,262,500.0,1914
10,1,1,4.2,150,1,12,371,600.0,1914
11,1,1,4.2,164,1,12,302,500.0,1914
12,0,0,4.0,424,1,12,304,450.0,1914
13,1,0,3.8,918,1,15,392,800.0,1914
14,1,0,3.8,90,1,12,262,650.0,1914
15,1,0,3.9,133,1,12,354,800.0,1914
16,1,0,3.8,144,1,12,428,700.0,1914
17,0,0,3.9,93,1,12,366,300.0,1914
18,1,0,3.0,62,1,12,357,400.0,1914
19,1,0,3.7,180,1,12,400,500.0,1914
20,1,0,3.6,62,1,61,764,600.0,1914
21,0,0,3.8,148,4,21,938,550.0,1914
22,1,0,4.0,219,4,12,365,600.0,1914
23,1,0,2.8,506,1,58,1049,500.0,1914
24,1,0,3.9,172,1,28,1159,750.0,1914
25,1,0,4.2,415,1,58,934,500.0,630
26,1,0,3.9,230,1,28,181,650.0,1914
27,1,0,4.2,1647,1,19,493,600.0,1914
28,1,0,4.4,4884,27,19,1105,750.0,1914
29,1,0,3.8,133,4,58,1294,200.0,1914
30,1,0,3.9,286,1,58,254,500.0,1914
31,1,0,3.9,540,1,58,1167,800.0,1914
32,1,1,4.6,2556,1,21,1161,600.0,1914
33,0,0,3.8,36,1,28,1033,400.0,1914
34,1,0,3.6,244,41,58,940,300.0,75
35,1,0,4.0,804,41,19,960,450.0,1780
36,1,0,3.7,679,53,19,488,850.0,1914
37,1,0,3.1,245,41,58,994,300.0,1773
38,0,0,4.3,345,1,29,742,400.0,1914
39,1,0,4.0,618,27,19,223,750.0,1914
40,0,0,4.0,1047,1,58,760,450.0,1914
41,1,0,3.9,627,1,28,715,450.0,5
42,1,1,4.2,354,1,19,116,800.0,1914
43,0,0,4.2,244,1,19,777,800.0,1914
44,1,1,3.6,163,41,19,708,800.0,1914
45,0,1,4.0,808,1,19,940,850.0,1914
46,1,0,4.1,1720,4,58,1069,400.0,1914
47,0,0,4.1,868,1,53,562,1200.0,1914
48,0,0,4.1,520,1,58,191,300.0,1914
49,0,0,3.6,299,1,58,676,300.0,1914
50,1,0,4.1,558,4,58,1227,150.0,205
51,0,0,3.8,39,1,58,1238,350.0,1914
52,1,0,4.2,146,1,8,166,400.0,1914
53,1,0,4.4,4401,27,19,221,600.0,1914
54,0,0,2.6,283,1,19,903,600.0,1914
55,0,0,3.3,62,1,4,1258,800.0,1914
56,0,0,3.7,65,1,58,681,300.0,1914
57,1,0,3.8,71,4,29,745,400.0,1914
58,0,0,3.5,52,1,58,1227,300.0,1914
59,0,0,3.7,130,1,58,1227,200.0,1914
60,0,0,3.8,45,1,68,137,400.0,1914
61,1,0,4.1,201,1,58,1263,300.0,1299
62,1,0,4.0,771,1,19,1258,450.0,1726
63,0,0,3.0,98,1,4,940,800.0,1914
64,1,1,4.1,175,27,19,1259,500.0,1007
65,1,0,3.8,540,4,19,1067,650.0,1914
66,1,0,3.8,124,41,58,471,400.0,1914
67,1,0,4.1,340,1,68,1097,500.0,1914
68,1,0,3.8,505,1,58,254,450.0,1914
69,1,0,4.1,438,27,29,620,500.0,1914
70,1,0,3.7,264,47,19,954,750.0,1914
71,1,0,3.7,97,27,58,1092,350.0,1914
72,1,0,3.6,195,27,19,481,800.0,1914
73,1,0,4.6,228,27,12,286,400.0,1914
74,1,1,4.1,364,27,19,1321,1200.0,1914
75,1,0,3.7,107,4,8,170,150.0,1914
76,1,0,3.2,167,41,58,1261,300.0,1566
77,1,0,4.2,64,4,58,1195,500.0,1914
78,1,0,3.0,290,1,58,957,450.0,1914
79,1,0,4.1,233,4,58,1287,200.0,1914
80,1,0,3.8,115,41,58,673,250.0,1914
81,1,1,3.9,291,27,12,294,650.0,1041
82,1,0,4.5,155,27,8,175,300.0,1914
83,1,0,4.1,305,41,19,750,700.0,1914
84,1,0,3.9,38,1,29,735,150.0,1914
85,1,0,3.9,441,1,58,1260,400.0,1914
86,1,0,4.3,630,27,58,1149,200.0,1914
87,1,0,3.9,160,41,58,66,300.0,1914
88,1,0,4.2,287,1,58,903,350.0,1914
89,1,0,4.1,402,1,12,262,500.0,1914
90,1,0,3.8,469,4,19,950,750.0,1914
91,1,0,3.3,511,41,19,129,550.0,1914
92,1,0,3.9,264,1,58,1227,200.0,1914
93,1,0,3.0,62,1,12,357,400.0,1914
94,1,0,3.8,693,1,19,1167,750.0,1914
95,1,0,3.8,242,27,19,850,650.0,1914
96,1,0,4.1,163,4,58,548,500.0,1914
97,1,0,4.2,191,4,58,1294,250.0,1486
98,1,0,3.5,32,1,58,1178,150.0,1914
99,1,0,2.5,247,1,19,903,500.0,1914
100,1,1,4.1,2339,27,19,948,1500.0,1914
101,1,0,4.1,337,27,58,442,300.0,1914
102,1,0,3.9,135,1,19,963,800.0,1914
103,1,0,3.6,172,64,19,940,700.0,1914
104,1,0,3.6,105,1,19,1331,700.0,1914
105,1,0,4.2,504,1,12,393,550.0,1914
106,1,1,4.3,1129,27,19,785,1300.0,1914
107,1,0,4.3,860,1,29,618,500.0,1914
108,1,0,3.8,412,27,19,60,700.0,1914
109,1,1,3.9,142,27,19,854,1000.0,1914
110,1,0,3.6,143,27,19,1232,750.0,1914
111,1,0,4.4,181,27,8,178,250.0,1914
112,1,0,3.8,70,27,58,1146,200.0,1914
113,1,0,3.8,164,4,58,1169,600.0,1914
114,1,0,3.6,58,41,58,292,650.0,1914
115,0,0,3.8,148,4,21,938,550.0,1914
116,0,0,3.9,206,4,58,1255,450.0,1914
117,0,0,3.7,217,4,19,1010,450.0,1914
118,0,0,3.8,148,4,58,681,150.0,1914
119,1,0,2.9,177,27,19,953,700.0,1914
120,1,0,3.7,136,1,58,1193,600.0,1914
121,1,0,4.1,185,27,58,796,200.0,1914
122,1,0,3.8,155,47,19,1263,400.0,1914
123,1,0,3.8,42,1,58,1258,300.0,1092
124,1,0,3.8,286,4,19,903,600.0,1914
125,1,0,3.8,160,1,19,940,700.0,1914
126,1,0,3.8,59,1,19,940,750.0,1914
127,1,0,4.0,89,27,58,1229,200.0,1914
128,1,0,3.9,40,4,19,1009,600.0,1914
129,1,0,2.5,35,4,58,642,200.0,1914
130,1,0,3.6,62,1,61,764,600.0,1914
131,1,0,4.1,139,27,19,1007,550.0,1914
132,1,0,3.7,237,1,58,1244,200.0,1185
133,1,0,3.9,388,1,19,233,650.0,1914
134,1,0,3.9,128,41,19,1241,500.0,42
135,1,1,4.1,1875,27,19,906,1200.0,1914
136,1,0,3.8,90,1,12,262,650.0,1914
137,1,0,4.2,179,1,28,1159,600.0,1914
138,1,0,4.3,275,4,58,1227,100.0,1017
139,1,0,3.7,323,27,19,493,850.0,1914
140,1,0,4.3,322,27,19,1227,400.0,1914
141,1,0,2.6,157,27,12,274,450.0,1914
142,1,0,3.9,543,4,58,1244,300.0,1025
143,1,0,3.7,180,1,12,400,500.0,1914
144,1,0,4.2,444,4,58,1227,100.0,1463
145,1,0,3.9,134,27,58,1305,400.0,1567
146,1,0,3.8,577,27,19,1122,900.0,1914
147,1,0,3.9,144,27,19,1001,550.0,1914
148,1,0,4.1,787,1,19,478,800.0,1914
149,1,0,3.6,84,1,58,1258,250.0,46
150,1,1,4.0,349,1,19,1203,1200.0,1914
151,1,0,3.7,248,41,58,1044,400.0,1914
152,1,0,4.1,216,4,12,311,500.0,1914
153,1,0,4.0,324,1,12,371,700.0,1914
154,1,0,2.6,231,41,58,1002,400.0,1671
155,1,0,3.4,102,64,19,1259,400.0,289
156,1,0,3.9,133,1,12,354,800.0,1914
157,1,0,2.8,45,1,19,1176,800.0,1914
158,1,0,3.8,75,1,58,655,200.0,1914
159,1,0,4.0,53,53,28,870,600.0,1914
160,1,1,4.2,815,27,19,940,900.0,1914
161,1,1,4.0,633,1,19,940,800.0,1914
162,1,0,3.5,56,27,29,744,400.0,1914
163,1,0,3.9,70,1,29,660,400.0,1914
164,1,0,3.9,91,27,12,352,300.0,1914
165,1,0,3.8,77,41,12,319,650.0,1914
166,1,0,3.8,210,41,19,975,600.0,1914
167,1,0,4.1,130,27,12,382,650.0,1914
168,1,0,4.1,30,27,8,178,100.0,1914
169,1,0,3.8,144,1,12,428,700.0,1914
170,1,0,3.7,133,27,19,491,700.0,1914
171,1,0,4.0,136,27,58,1244,350.0,632
172,1,0,3.8,74,4,58,1258,300.0,1914
173,1,0,3.7,54,4,12,286,600.0,1914
174,1,0,3.4,58,4,12,349,400.0,1914
175,1,0,3.6,129,1,19,852,600.0,1914
176,1,0,3.5,41,60,41,1168,400.0,1914
177,1,0,4.1,176,4,19,53,800.0,1914
178,1,0,3.7,47,27,62,659,400.0,1914
179,1,1,3.7,36,27,19,473,650.0,1914
180,1,0,3.9,101,4,58,1227,150.0,1914
181,1,1,4.1,442,27,56,554,1200.0,1914
182,1,0,3.8,53,27,58,739,250.0,1914
183,1,0,4.0,232,27,58,1237,400.0,1914
184,1,0,3.9,221,27,19,420,700.0,1914
185,1,1,4.1,1063,27,20,766,1200.0,1914
186,1,0,3.7,93,4,58,1287,200.0,1914
187,1,0,3.9,233,27,19,783,800.0,1914
188,1,0,3.9,211,27,19,657,500.0,1914
189,1,0,4.0,1778,27,58,1141,200.0,19
190,1,0,3.6,218,67,19,1007,800.0,1914
191,1,0,3.7,514,4,12,367,600.0,1914
192,1,1,4.0,866,27,19,1019,900.0,1914
193,1,0,3.2,96,41,58,903,400.0,1914
194,1,0,3.5,80,1,58,1325,250.0,1914
195,1,0,4.0,73,4,0,149,300.0,1130
196,1,0,3.9,84,27,65,878,400.0,1914
197,1,0,3.5,88,1,58,1260,350.0,1914
198,1,0,3.5,179,1,19,950,600.0,1914
199,1,0,3.8,61,4,58,795,100.0,1914
200,1,0,3.7,128,64,19,962,450.0,1914
201,1,0,3.8,339,27,58,1258,400.0,287
202,1,0,4.1,449,4,58,1287,100.0,1914
203,1,0,4.1,210,27,31,161,150.0,1914
204,1,0,3.0,213,1,58,1128,400.0,1914
205,1,0,3.2,208,27,11,1310,250.0,1539
206,1,0,3.8,70,1,58,1227,100.0,59
207,1,0,4.0,219,4,12,365,600.0,1914
208,1,0,3.7,59,1,58,1146,200.0,1914
209,1,0,3.7,124,41,19,227,750.0,1914
210,1,1,4.1,775,1,19,1092,800.0,1914
211,1,1,4.2,2022,27,19,1117,1000.0,1914
212,1,1,4.2,150,1,12,371,600.0,527
213,1,0,4.0,232,4,19,940,750.0,1914
214,1,1,3.5,431,27,19,903,800.0,1914
215,1,1,4.2,2115,1,19,1174,800.0,1914
216,1,0,4.2,150,27,19,903,800.0,628
217,1,0,3.8,155,27,19,1263,450.0,1914
218,1,1,4.1,666,27,20,41,1000.0,1914
219,1,0,3.9,240,4,12,262,700.0,1914
220,1,0,3.8,918,1,15,392,800.0,1914
221,1,0,4.0,465,27,19,1263,600.0,1035
222,1,1,4.1,970,27,50,1032,1500.0,1914
223,1,0,3.3,128,1,58,940,300.0,1914
224,1,0,3.6,241,41,58,940,300.0,1914
225,1,0,4.3,734,1,58,1263,200.0,1186
226,1,0,3.8,130,27,58,927,400.0,1914
227,1,0,4.2,261,27,12,309,700.0,1914
228,1,0,4.0,191,41,58,1264,300.0,58
229,1,0,4.1,364,4,19,1240,550.0,61
230,1,0,3.9,888,1,19,1133,750.0,1031
231,1,0,3.9,750,4,19,1007,500.0,1264
232,1,1,4.2,164,1,12,302,500.0,1914
233,1,0,3.8,527,4,19,903,500.0,1914
234,0,0,4.3,345,1,29,742,400.0,1914
235,0,0,4.4,356,1,65,873,150.0,1914
236,1,0,3.9,38,1,29,735,150.0,691
237,1,0,3.9,116,1,29,745,400.0,996
238,1,0,3.8,918,1,15,392,800.0,1914
239,1,0,3.8,144,1,12,428,700.0,1914
240,1,0,4.3,860,1,29,618,500.0,1914
241,0,0,3.8,45,1,68,137,400.0,1914
242,1,0,3.9,70,1,29,660,400.0,1914
243,0,0,4.0,98,4,66,880,400.0,1914
244,1,0,4.0,219,4,12,365,600.0,1819
245,1,0,4.0,73,4,0,149,300.0,1130
246,1,0,2.7,97,4,19,1263,400.0,1914
247,1,0,3.9,888,1,19,1133,750.0,1030
248,1,1,4.0,349,1,19,1203,1200.0,446
249,1,0,4.2,287,1,58,903,350.0,1914
250,1,1,4.6,2556,1,21,1161,600.0,1914
251,1,1,4.2,354,1,19,116,800.0,234
252,1,1,4.1,775,1,19,1092,800.0,1914
253,1,1,4.2,2115,1,19,1174,800.0,1914
